Dataset,Engine,TotalTime(S),TotalEnergy(J),AvgPowerDrawTimed(W),MinDrawSampled(W),Q1DrawSampled(W),MedianDrawSampled(W),Q3DrawSampled(W),MaxDrawSampled(W),AllDrawSamples(W),Tuples
sf,cuDF,65.2300,6041.5088,92.6185,53.64,80.16,84.23,97.21,192.11,"53.64,53.64,53.64,53.64,53.64,53.64,53.64,53.64,53.64,53.64,53.64,53.64,53.64,53.64,53.64,53.64,53.64,53.64,53.64,53.64,53.64,60.91,62.37,62.05,62.05,62.05,62.37,63.51,65.85,72.29,103.48,107.82,101.42,148.06,153.32,86.83,86.83,88.62,101.15,129.00,81.89,81.30,80.43,80.16,134.67,108.69,79.57,90.03,79.57,108.42,84.23,81.62,88.99,146.60,110.15,109.29,85.37,86.83,80.16,81.62,85.69,83.96,84.50,79.57,85.96,169.92,80.71,85.10,83.64,158.86,140.48,82.49,85.69,84.83,78.37,81.03,82.17,101.42,85.96,91.82,79.84,81.62,83.36,89.17,83.36,88.62,83.36,82.49,83.36,170.79,89.49,97.36,102.89,82.76,97.95,83.64,80.16,84.23,105.81,78.70,80.43,100.55,80.43,83.64,90.03,79.57,179.85,88.03,80.71,85.37,85.96,82.49,80.16,93.83,79.57,188.58,82.76,122.14,89.76,80.43,95.89,79.84,110.15,95.02,90.36,106.08,79.30,81.03,90.03,92.09,82.17,83.64,78.37,146.33,90.03,78.97,150.13,103.48,84.23,96.75,79.30,95.29,88.90,84.50,78.97,80.43,85.96,84.83,85.69,78.70,184.51,97.36,80.16,163.26,118.62,96.49,93.29,81.62,83.64,82.76,78.97,83.96,84.83,81.62,86.29,84.83,82.17,107.82,81.89,83.36,151.86,93.29,103.16,86.29,90.03,172.85,79.30,100.55,182.59,133.48,81.89,174.32,102.62,115.14,80.43,162.65,83.36,79.84,78.97,85.10,82.49,80.43,79.30,83.36,80.16,84.23,82.76,79.84,157.72,87.15,88.30,82.49,81.30,79.57,174.32,103.16,97.36,99.36,174.59,81.30,150.72,130.27,81.03,83.36,95.02,81.30,79.57,79.84,82.76,134.07,99.09,91.22,90.03,84.23,88.90,83.96,92.36,122.14,79.30,192.11,173.86,83.03,88.90,109.61,84.23,80.16,79.57,82.76",80498014
usroads,cuDF,0,0,0,0,0,0,0,0,"",0
fe_body,BJoin,5.9047,600.0629,101.6243,57.11,62.44,87.30,171.61,199.16,"57.71,57.11,57.17,64.11,62.37,62.37,62.97,62.64,62.37,62.37,106.96,124.74,189.18,199.16,156.53,187.44,180.44,149.53,175.18,177.52,160.92,177.25,90.95,81.62,80.43,83.64",156120489
vsp,BJoin,29.8781,4909.7291,164.3252,57.11,153.60,186.38,197.04,252.75,"57.11,57.44,57.38,57.17,57.11,57.17,64.38,62.05,62.05,62.05,62.64,62.37,62.37,62.37,206.15,252.75,225.66,212.87,228.55,171.39,202.03,219.49,197.37,195.97,196.18,221.33,190.04,195.57,214.23,175.18,219.00,204.36,191.04,192.70,222.46,188.58,189.45,178.39,172.58,214.56,218.62,199.49,193.57,188.90,194.44,190.91,197.04,143.73,153.60,203.76,160.05,203.44,196.18,173.45,200.24,178.11,194.11,159.13,197.04,174.59,191.78,186.38,185.98,190.64,178.39,207.24,174.32,200.36,121.28,175.78,183.65,198.30,179.85,199.97,132.06,186.57,113.41,188.04,191.51,187.52,186.85,125.34,178.98,205.56,130.60,90.03,190.91,199.97,172.58,185.11,159.13,177.25,159.73,171.71,190.45,151.59,188.90,194.11,172.85,188.04,148.39,188.04,193.84,156.80,185.71,164.72,123.28,193.57,204.63,157.39,184.51,189.77,200.03,161.46,185.38,124.74,193.84,188.58,143.73,126.21,195.37,192.11,131.74,189.45,199.97,164.12,152.73,197.04,196.56,199.70,152.13,197.37,188.90,123.87,181.04,199.76,185.71,202.96,131.15,129.74,199.49,198.03,190.37,163.79,153.60,166.45,201.82,200.90,192.11,188.90,157.72,131.74,157.99,202.96,201.23,198.90,179.85,161.78,135.27,146.92,152.46,89.17,83.36,82.49,85.69",910070918
sf,BJoin,13.0724,997.1089,76.2761,57.98,63.24,63.51,82.17,169.92,"57.98,57.98,57.98,64.98,64.11,64.38,64.38,64.71,64.38,64.38,70.51,93.83,149.53,161.19,141.07,168.46,169.38,147.79,165.58,169.92,85.96,82.49,82.17,82.76,82.17,82.17,82.17,82.49,82.17,81.89,82.49,64.98,62.97,63.24,63.51,63.24,63.24,63.51,63.24,63.24,63.51,63.24,63.24,63.51,63.24,63.24,63.24,63.51,63.24,63.24,63.24,63.24,63.24,63.24,63.24,63.51,63.51,63.24,63.24,63.24,63.24,63.24,63.24,63.51,63.24,84.83",80498014
usroads,BJoin,28.9872,4660.6215,160.7821,57.71,138.46,184.51,195.03,232.65,"57.71,57.98,57.71,57.71,57.71,64.98,63.03,62.97,62.97,62.97,63.24,63.51,63.51,110.48,186.05,185.71,199.16,200.84,197.64,211.14,210.82,223.65,205.56,209.95,202.69,209.68,189.45,204.04,215.20,220.73,199.10,201.23,201.44,210.55,207.02,214.88,194.24,204.04,215.20,232.65,200.36,229.46,213.69,195.90,194.24,194.51,143.13,186.05,191.31,202.58,164.39,186.57,132.06,139.93,190.64,110.48,188.90,198.30,124.74,188.71,141.39,187.12,191.58,187.12,204.04,184.32,192.77,129.41,195.90,127.08,192.77,146.92,199.10,182.59,190.91,138.46,173.72,149.26,188.04,178.52,162.38,185.51,195.03,184.32,205.24,183.05,205.29,180.71,193.25,131.74,133.20,191.51,148.66,146.33,186.85,127.08,183.65,109.01,184.78,130.01,186.24,175.78,182.26,184.51,190.64,125.94,184.51,190.64,114.27,126.48,147.20,178.11,128.54,186.24,194.71,143.73,187.12,202.03,178.98,118.34,187.84,193.57,192.70,165.85,158.86,178.11,197.37,182.45,193.25,167.32,139.93,129.41,126.81,188.58,202.96,153.60,158.86,136.73,133.80,125.61,193.91,141.67,142.80,130.88,148.06,206.75,146.60,145.74,132.61,191.24,175.46,194.71,160.32,180.71,203.55,209.30,201.44,123.60,86.56,85.37,82.76",871365688
fe_body,INLJoin,4.8978,488.0114,99.6392,50.99,79.86,97.03,112.65,178.39,"50.99,61.78,115.14,133.48,178.39,173.45,84.23,110.15,79.57,139.34,99.69,79.30,88.03,78.97,106.68,106.96,88.03,97.03,80.16",156120489
vsp,INLJoin,82.7120,7481.0206,90.4466,50.99,74.63,75.50,76.64,209.09,"50.99,59.17,58.36,209.09,201.71,178.20,74.63,140.48,74.31,162.92,74.31,159.46,74.90,74.63,74.31,74.31,74.63,74.63,74.63,74.63,74.63,74.63,152.73,74.63,157.39,74.63,74.63,138.46,74.63,164.99,74.63,162.65,74.63,198.30,74.63,158.26,74.63,150.40,170.25,74.63,74.90,74.90,74.90,74.63,74.90,74.90,159.13,91.82,77.23,74.90,84.50,74.90,74.90,74.63,188.71,74.90,74.90,75.17,148.39,79.30,77.83,79.57,142.53,146.60,137.27,132.61,75.17,75.17,75.17,75.17,75.17,74.90,75.17,121.28,75.77,154.20,75.17,75.17,150.40,76.04,146.92,76.04,75.17,166.13,75.17,139.07,75.50,75.17,75.17,75.50,75.17,76.96,75.77,75.50,76.64,75.77,75.50,75.50,196.56,75.50,75.50,75.17,166.13,169.20,75.50,75.50,184.24,151.43,75.50,75.50,75.50,75.50,75.50,97.95,75.50,75.50,75.77,75.50,76.64,75.50,76.04,75.50,75.77,75.77,75.50,75.77,75.77,75.77,75.50,75.77,75.77,75.77,75.17,155.39,75.50,75.17,75.50,75.50,75.77,75.50,75.17,75.50,75.50,75.50,75.50,166.72,75.50,75.50,75.77,75.50,75.50,153.32,75.50,130.01,75.50,75.77,75.50,75.50,74.31,74.04,73.70,74.04,73.70,100.28,74.04,74.04,74.31,74.04,74.04,73.70,74.04,73.70,74.04,74.04,74.04,74.04,74.04,166.13,74.04,74.04,74.31,74.04,74.04,151.86,74.04,74.04,146.60,175.18,74.04,74.04,74.04,74.04,99.69,74.31,74.04,74.04,168.19,74.04,74.04,74.31,74.04,76.36,74.31,74.04,74.31,74.31,75.50,75.50,75.50,72.29,76.64",910070918
sf,INLJoin,3.2577,300.0158,92.0936,51.85,79.30,88.03,104.35,147.47,"51.85,59.71,78.97,103.48,147.47,88.03,114.27,102.62,113.08,80.43,104.35,79.30,79.57",80498014
usroads,INLJoin,77.1806,7346.4815,95.1856,51.63,74.90,75.50,76.79,215.43,"51.63,59.51,74.31,166.13,168.19,89.17,76.36,95.62,77.23,116.01,136.13,114.27,132.93,75.17,75.50,79.84,85.69,78.70,78.10,78.70,74.90,75.17,77.23,74.90,74.90,74.90,92.36,133.20,126.21,74.63,74.63,74.63,74.90,132.61,74.90,74.90,74.63,74.90,74.90,162.38,74.90,74.90,74.90,74.90,74.90,74.90,153.43,181.12,74.90,74.90,74.90,74.90,75.17,75.17,74.90,74.90,74.90,74.90,157.39,75.17,74.90,75.17,164.99,74.90,74.90,75.17,75.17,75.17,148.66,75.17,163.52,75.17,159.46,75.17,153.05,75.17,147.20,75.17,172.68,75.17,75.17,75.17,75.50,75.50,175.18,75.17,75.50,133.20,75.50,215.43,75.50,75.17,75.77,75.77,75.50,131.93,75.50,210.22,75.50,75.50,76.04,75.50,75.77,75.50,75.50,75.50,167.59,75.50,75.77,75.77,75.77,75.50,75.50,75.50,75.77,75.50,75.77,197.70,166.45,75.77,76.04,75.77,76.36,75.77,141.67,75.77,75.77,75.50,210.55,121.28,75.77,214.33,82.17,75.77,76.36,75.77,76.36,76.04,75.77,205.56,75.77,169.38,76.04,76.04,166.45,76.04,76.04,76.04,76.04,76.04,76.04,76.04,75.77,76.36,163.52,76.04,76.36,76.04,76.64,76.04,76.04,76.04,76.04,76.36,74.63,74.90,74.31,102.02,74.63,74.31,74.71,74.38,74.90,74.31,74.63,74.63,74.31,74.63,74.31,74.63,74.04,74.04,74.04,74.90,75.50,74.90,74.90,71.70,72.05,71.70,71.70,75.77",871365688
